CustomerID,SegmentName,Rank,Recommended,Method
12353,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12353,Lost,5,PARTY BUNTING,Segment Fallback
12354,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12354,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12354,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12354,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12354,Lost,5,PARTY BUNTING,Segment Fallback
12355,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12355,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12355,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12355,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12355,Lost,5,PARTY BUNTING,Segment Fallback
12356,At-Risk,1,PACK OF 60 PINK PAISLEY CAKE CASES,Collaborative Filtering
12356,At-Risk,2,GINGERBREAD MAN COOKIE CUTTER,Collaborative Filtering
12356,At-Risk,3,SET/10 RED POLKADOT PARTY CANDLES,Collaborative Filtering
12356,At-Risk,4,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12356,At-Risk,5,PACK OF 60 DINOSAUR CAKE CASES,Collaborative Filtering
12358,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12358,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12358,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12358,At-Risk,4,PARTY BUNTING,Segment Fallback
12358,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12359,Loyal,1,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12359,Loyal,2,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12359,Loyal,3,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12359,Loyal,4,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12359,Loyal,5,PAPER CHAIN KIT 50'S CHRISTMAS ,Collaborative Filtering
12360,At-Risk,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12360,At-Risk,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12360,At-Risk,3,SPACEBOY LUNCH BOX ,Collaborative Filtering
12360,At-Risk,4,LUNCH BAG WOODLAND,Collaborative Filtering
12360,At-Risk,5,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12361,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12361,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12361,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12361,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12361,Lost,5,PARTY BUNTING,Segment Fallback
12362,Loyal,1,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12362,Loyal,2,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12362,Loyal,3,LUNCH BAG PINK POLKADOT,Collaborative Filtering
12362,Loyal,4,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12362,Loyal,5,RABBIT NIGHT LIGHT,Collaborative Filtering
12363,At-Risk,1,PACK OF 60 DINOSAUR CAKE CASES,Collaborative Filtering
12363,At-Risk,2,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12363,At-Risk,3,PACK OF 60 SPACEBOY CAKE CASES,Collaborative Filtering
12363,At-Risk,4,60 CAKE CASES DOLLY GIRL DESIGN,Collaborative Filtering
12363,At-Risk,5,SET OF 60 VINTAGE LEAF CAKE CASES ,Collaborative Filtering
12364,At-Risk,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12364,At-Risk,2,PACK OF 60 SPACEBOY CAKE CASES,Collaborative Filtering
12364,At-Risk,3,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12364,At-Risk,4,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12364,At-Risk,5,72 SWEETHEART FAIRY CAKE CASES,Collaborative Filtering
12365,Lost,1,REGENCY TEAPOT ROSES ,Collaborative Filtering
12365,Lost,2,REGENCY TEA PLATE GREEN ,Collaborative Filtering
12365,Lost,3,REGENCY TEA PLATE ROSES ,Collaborative Filtering
12365,Lost,4,REGENCY SUGAR BOWL GREEN,Collaborative Filtering
12365,Lost,5,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12370,Lost,1,PINK BLUE FELT CRAFT TRINKET BOX,Collaborative Filtering
12370,Lost,2,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12370,Lost,3,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12370,Lost,4,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12370,Lost,5,PAPER CHAIN KIT 50'S CHRISTMAS ,Collaborative Filtering
12372,Loyal,1,PLASTERS IN TIN WOODLAND ANIMALS,Collaborative Filtering
12372,Loyal,2,LUNCH BAG WOODLAND,Collaborative Filtering
12372,Loyal,3,SPACEBOY BIRTHDAY CARD,Collaborative Filtering
12372,Loyal,4,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12372,Loyal,5,STRAWBERRY LUNCH BOX WITH CUTLERY,Collaborative Filtering
12373,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12373,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12373,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12373,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12373,Lost,5,PARTY BUNTING,Segment Fallback
12375,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12375,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12375,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12375,At-Risk,4,PARTY BUNTING,Segment Fallback
12375,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12377,Lost,1,PLASTERS IN TIN WOODLAND ANIMALS,Collaborative Filtering
12377,Lost,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12377,Lost,3,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12377,Lost,4,LUNCH BAG WOODLAND,Collaborative Filtering
12377,Lost,5,LUNCH BOX WITH CUTLERY RETROSPOT ,Collaborative Filtering
12378,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12378,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12378,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12378,At-Risk,4,PARTY BUNTING,Segment Fallback
12378,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12379,At-Risk,1,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12379,At-Risk,2,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12379,At-Risk,3,SPACEBOY LUNCH BOX ,Collaborative Filtering
12379,At-Risk,4,LUNCH BAG DOLLY GIRL DESIGN,Collaborative Filtering
12379,At-Risk,5,LUNCH BAG VINTAGE DOILY ,Collaborative Filtering
12380,At-Risk,1,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12380,At-Risk,2,LUNCH BAG VINTAGE LEAF DESIGN,Collaborative Filtering
12380,At-Risk,3,LUNCH BAG DOLLY GIRL DESIGN,Collaborative Filtering
12380,At-Risk,4,LUNCH BAG VINTAGE DOILY ,Collaborative Filtering
12380,At-Risk,5,JUMBO BAG VINTAGE LEAF,Collaborative Filtering
12381,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12381,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12381,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12381,At-Risk,4,PARTY BUNTING,Segment Fallback
12381,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12383,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12383,Loyal,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12383,Loyal,3,LUNCH BAG WOODLAND,Collaborative Filtering
12383,Loyal,4,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12383,Loyal,5,GREEN POLKADOT BOWL,Collaborative Filtering
12384,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12384,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12384,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12384,At-Risk,4,PARTY BUNTING,Segment Fallback
12384,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12386,Lost,1,PLASTERS IN TIN WOODLAND ANIMALS,Collaborative Filtering
12386,Lost,2,PLASTERS IN TIN SPACEBOY,Collaborative Filtering
12386,Lost,3,PLASTERS IN TIN SKULLS,Collaborative Filtering
12386,Lost,4,PLASTERS IN TIN CIRCUS PARADE ,Collaborative Filtering
12386,Lost,5,EMERGENCY FIRST AID TIN ,Collaborative Filtering
12388,Loyal,1,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12388,Loyal,2,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12388,Loyal,3,SET OF 4 PANTRY JELLY MOULDS,Collaborative Filtering
12388,Loyal,4,REGENCY CAKESTAND 3 TIER,Collaborative Filtering
12388,Loyal,5,RECIPE BOX PANTRY YELLOW DESIGN,Collaborative Filtering
12390,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12390,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12390,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12390,At-Risk,4,PARTY BUNTING,Segment Fallback
12390,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12393,Loyal,1,LUNCH BAG APPLE DESIGN,Collaborative Filtering
12393,Loyal,2,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12393,Loyal,3,LUNCH BAG VINTAGE LEAF DESIGN,Collaborative Filtering
12393,Loyal,4,JUMBO BAG RED RETROSPOT,Collaborative Filtering
12393,Loyal,5,LUNCH BAG VINTAGE DOILY ,Collaborative Filtering
12394,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12394,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12394,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12394,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12394,Lost,5,PARTY BUNTING,Segment Fallback
12395,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12395,Loyal,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12395,Loyal,3,LUNCH BAG WOODLAND,Collaborative Filtering
12395,Loyal,4,LUNCH BAG DOLLY GIRL DESIGN,Collaborative Filtering
12395,Loyal,5,PLASTERS IN TIN WOODLAND ANIMALS,Collaborative Filtering
12397,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12397,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12397,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12397,At-Risk,4,PARTY BUNTING,Segment Fallback
12397,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12399,Loyal,1,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12399,Loyal,2,LUNCH BAG CARS BLUE,Collaborative Filtering
12399,Loyal,3,LUNCH BAG PINK POLKADOT,Collaborative Filtering
12399,Loyal,4,LUNCH BAG SUKI DESIGN ,Collaborative Filtering
12399,Loyal,5,LUNCH BAG APPLE DESIGN,Collaborative Filtering
12401,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12401,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12401,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12401,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12401,Lost,5,PARTY BUNTING,Segment Fallback
12402,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12402,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12402,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12402,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12402,Lost,5,PARTY BUNTING,Segment Fallback
12405,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12405,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12405,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12405,At-Risk,4,PARTY BUNTING,Segment Fallback
12405,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12406,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12406,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12406,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12406,At-Risk,4,PARTY BUNTING,Segment Fallback
12406,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12407,Loyal,1,60 TEATIME FAIRY CAKE CASES,Collaborative Filtering
12407,Loyal,2,72 SWEETHEART FAIRY CAKE CASES,Collaborative Filtering
12407,Loyal,3,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12407,Loyal,4,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12407,Loyal,5,SET/20 RED RETROSPOT PAPER NAPKINS ,Collaborative Filtering
12408,Loyal,1,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12408,Loyal,2,LUNCH BAG WOODLAND,Collaborative Filtering
12408,Loyal,3,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12408,Loyal,4,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12408,Loyal,5,LUNCH BAG DOLLY GIRL DESIGN,Collaborative Filtering
12409,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12409,Loyal,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12409,Loyal,3,LUNCH BAG WOODLAND,Collaborative Filtering
12409,Loyal,4,SET OF 3 CAKE TINS PANTRY DESIGN ,Collaborative Filtering
12409,Loyal,5,SPACEBOY LUNCH BOX ,Collaborative Filtering
12410,Lost,1,SET OF 3 CAKE TINS PANTRY DESIGN ,Collaborative Filtering
12410,Lost,2,ALARM CLOCK BAKELIKE RED ,Collaborative Filtering
12410,Lost,3,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12410,Lost,4,SET OF 3 REGENCY CAKE TINS,Collaborative Filtering
12410,Lost,5,SET OF 4 PANTRY JELLY MOULDS,Collaborative Filtering
12412,At-Risk,1,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12412,At-Risk,2,SPACEBOY BEAKER,Collaborative Filtering
12412,At-Risk,3,SPACEBOY BIRTHDAY CARD,Collaborative Filtering
12412,At-Risk,4, DOLLY GIRL BEAKER,Collaborative Filtering
12412,At-Risk,5,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12413,Lost,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12413,Lost,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12413,Lost,3,LUNCH BAG WOODLAND,Collaborative Filtering
12413,Lost,4,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12413,Lost,5,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12414,At-Risk,1,PLASTERS IN TIN WOODLAND ANIMALS,Collaborative Filtering
12414,At-Risk,2,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12414,At-Risk,3,SET/20 RED RETROSPOT PAPER NAPKINS ,Collaborative Filtering
12414,At-Risk,4,PLASTERS IN TIN STRONGMAN,Collaborative Filtering
12414,At-Risk,5,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12415,Loyal,1,LUNCH BAG CARS BLUE,Collaborative Filtering
12415,Loyal,2,GINGERBREAD MAN COOKIE CUTTER,Collaborative Filtering
12415,Loyal,3,LUNCH BAG SUKI DESIGN ,Collaborative Filtering
12415,Loyal,4,PAPER CHAIN KIT 50'S CHRISTMAS ,Collaborative Filtering
12415,Loyal,5,60 TEATIME FAIRY CAKE CASES,Collaborative Filtering
12417,Loyal,1,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12417,Loyal,2,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12417,Loyal,3,JAM MAKING SET PRINTED,Collaborative Filtering
12417,Loyal,4,SPOTTY BUNTING,Collaborative Filtering
12417,Loyal,5,PARTY BUNTING,Collaborative Filtering
12418,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12418,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12418,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12418,At-Risk,4,PARTY BUNTING,Segment Fallback
12418,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12421,Loyal,1,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12421,Loyal,2,WHITE HANGING HEART T-LIGHT HOLDER,Collaborative Filtering
12421,Loyal,3,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12421,Loyal,4,REGENCY CAKESTAND 3 TIER,Collaborative Filtering
12421,Loyal,5,SET OF 3 CAKE TINS PANTRY DESIGN ,Collaborative Filtering
12422,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12422,Loyal,2,JUMBO BAG RED RETROSPOT,Collaborative Filtering
12422,Loyal,3,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12422,Loyal,4,LUNCH BAG SUKI DESIGN ,Collaborative Filtering
12422,Loyal,5,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12423,Loyal,1,LUNCH BAG WOODLAND,Collaborative Filtering
12423,Loyal,2,LUNCH BAG APPLE DESIGN,Collaborative Filtering
12423,Loyal,3,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12423,Loyal,4,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12423,Loyal,5,LUNCH BAG CARS BLUE,Collaborative Filtering
12424,At-Risk,1,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12424,At-Risk,2,PAPER CHAIN KIT 50'S CHRISTMAS ,Collaborative Filtering
12424,At-Risk,3,SET/20 RED RETROSPOT PAPER NAPKINS ,Collaborative Filtering
12424,At-Risk,4,GINGERBREAD MAN COOKIE CUTTER,Collaborative Filtering
12424,At-Risk,5,REGENCY CAKESTAND 3 TIER,Collaborative Filtering
12425,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12425,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12425,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12425,At-Risk,4,PARTY BUNTING,Segment Fallback
12425,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12426,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12426,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12426,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12426,At-Risk,4,PARTY BUNTING,Segment Fallback
12426,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12427,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12427,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12427,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12427,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12427,Lost,5,PARTY BUNTING,Segment Fallback
12428,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12428,Loyal,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12428,Loyal,3,SET OF 4 PANTRY JELLY MOULDS,Collaborative Filtering
12428,Loyal,4,SPOTTY BUNTING,Collaborative Filtering
12428,Loyal,5,LUNCH BAG PINK POLKADOT,Collaborative Filtering
12429,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12429,Loyal,2,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12429,Loyal,3,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12429,Loyal,4,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12429,Loyal,5,SPACEBOY LUNCH BOX ,Collaborative Filtering
12431,Loyal,1,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12431,Loyal,2,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12431,Loyal,3,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12431,Loyal,4,LUNCH BAG CARS BLUE,Collaborative Filtering
12431,Loyal,5,LUNCH BAG PINK POLKADOT,Collaborative Filtering
12432,At-Risk,1,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12432,At-Risk,2,SPACEBOY LUNCH BOX ,Collaborative Filtering
12432,At-Risk,3,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12432,At-Risk,4,LUNCH BAG WOODLAND,Collaborative Filtering
12432,At-Risk,5,RABBIT NIGHT LIGHT,Collaborative Filtering
12433,Loyal,1,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12433,Loyal,2,SET OF 4 PANTRY JELLY MOULDS,Collaborative Filtering
12433,Loyal,3,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12433,Loyal,4,REGENCY CAKESTAND 3 TIER,Collaborative Filtering
12433,Loyal,5,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12434,Loyal,1,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12434,Loyal,2,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12434,Loyal,3,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12434,Loyal,4,SET/20 RED RETROSPOT PAPER NAPKINS ,Collaborative Filtering
12434,Loyal,5,SET OF 3 CAKE TINS PANTRY DESIGN ,Collaborative Filtering
12435,Loyal,1,ALARM CLOCK BAKELIKE GREEN,Collaborative Filtering
12435,Loyal,2,SPACEBOY LUNCH BOX ,Collaborative Filtering
12435,Loyal,3,RED DINER WALL CLOCK,Collaborative Filtering
12435,Loyal,4,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12435,Loyal,5,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12436,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12436,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12436,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12436,At-Risk,4,PARTY BUNTING,Segment Fallback
12436,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12437,Loyal,1,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12437,Loyal,2,LUNCH BAG  BLACK SKULL.,Collaborative Filtering
12437,Loyal,3,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12437,Loyal,4,LUNCH BAG PINK POLKADOT,Collaborative Filtering
12437,Loyal,5,LUNCH BAG SUKI DESIGN ,Collaborative Filtering
12438,At-Risk,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12438,At-Risk,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12438,At-Risk,3,BAKING SET 9 PIECE RETROSPOT ,Segment Fallback
12438,At-Risk,4,PARTY BUNTING,Segment Fallback
12438,At-Risk,5,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12441,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12441,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12441,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12441,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12441,Lost,5,PARTY BUNTING,Segment Fallback
12444,Loyal,1,ROSES REGENCY TEACUP AND SAUCER ,Collaborative Filtering
12444,Loyal,2,REGENCY TEA PLATE ROSES ,Collaborative Filtering
12444,Loyal,3,SPOTTY BUNTING,Collaborative Filtering
12444,Loyal,4,WHITE HANGING HEART T-LIGHT HOLDER,Collaborative Filtering
12444,Loyal,5,REGENCY TEAPOT ROSES ,Collaborative Filtering
12447,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12447,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12447,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12447,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12447,Lost,5,PARTY BUNTING,Segment Fallback
12449,Loyal,1,LUNCH BAG DOLLY GIRL DESIGN,Collaborative Filtering
12449,Loyal,2,LUNCH BAG APPLE DESIGN,Collaborative Filtering
12449,Loyal,3,RABBIT NIGHT LIGHT,Collaborative Filtering
12449,Loyal,4,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
